city,city_ascii,state_id,state_name,lat,lng
New York City,New York,NY,New York,40.6943,-73.9249
Los Angeles,Los Angeles,CA,California,34.1139,-118.4068
Chicago,Chicago,IL,Illinois,41.8373,-87.6862
Miami,Miami,FL,Florida,25.7839,-80.2102
Dallas,Dallas,TX,Texas,32.7936,-96.7662
Philadelphia,Philadelphia,PA,Pennsylvania,40.0077,-75.1339
Houston,Houston,TX,Texas,29.7863,-95.3889
Atlanta,Atlanta,GA,Georgia,33.7627,-84.4224
Washington,Washington,DC,District of Columbia,38.9047,-77.0163
Boston,Boston,MA,Massachusetts,42.3188,-71.0846
Phoenix,Phoenix,AZ,Arizona,33.5722,-112.0891
Seattle,Seattle,WA,Washington,47.6211,-122.3244
San Francisco,San Francisco,CA,California,37.7562,-122.443
Detroit,Detroit,MI,Michigan,42.3834,-83.1024
San Diego,San Diego,CA,California,32.8312,-117.1225
Minneapolis,Minneapolis,MN,Minnesota,44.9635,-93.2678
Tampa,Tampa,FL,Florida,27.9942,-82.4451
Denver,Denver,CO,Colorado,39.7621,-104.8759
Brooklyn,Brooklyn,NY,New York,40.6501,-73.9496
Queens,Queens,NY,New York,40.7498,-73.7976
Riverside,Riverside,CA,California,33.9381,-117.3948
Baltimore,Baltimore,MD,Maryland,39.3051,-76.6144
Las Vegas,Las Vegas,NV,Nevada,36.2333,-115.2654
Portland,Portland,OR,Oregon,45.5372,-122.65
San Antonio,San Antonio,TX,Texas,29.4658,-98.5253
St. Louis,St. Louis,MO,Missouri,38.6358,-90.2451
Sacramento,Sacramento,CA,California,38.5667,-121.4683
Orlando,Orlando,FL,Florida,28.4772,-81.3369
San Jose,San Jose,CA,California,37.3019,-121.8486
Cleveland,Cleveland,OH,Ohio,41.4767,-81.6804
Pittsburgh,Pittsburgh,PA,Pennsylvania,40.4396,-79.9762
Austin,Austin,TX,Texas,30.3004,-97.7522
Cincinnati,Cincinnati,OH,Ohio,39.1413,-84.5061
Kansas City,Kansas City,MO,Missouri,39.1239,-94.5541
Manhattan,Manhattan,NY,New York,40.7834,-73.9662
Indianapolis,Indianapolis,IN,Indiana,39.7771,-86.1458
Columbus,Columbus,OH,Ohio,39.9862,-82.985
Charlotte,Charlotte,NC,North Carolina,35.208,-80.8304
Virginia Beach,Virginia Beach,VA,Virginia,36.7335,-76.0435
Bronx,Bronx,NY,New York,40.8501,-73.8662
Milwaukee,Milwaukee,WI,Wisconsin,43.0642,-87.9673
Providence,Providence,RI,Rhode Island,41.823,-71.4187
Jacksonville,Jacksonville,FL,Florida,30.3322,-81.6749
Salt Lake City,Salt Lake City,UT,Utah,40.7777,-111.9306
Nashville,Nashville,TN,Tennessee,36.1715,-86.7843
Richmond,Richmond,VA,Virginia,37.5295,-77.4756
Memphis,Memphis,TN,Tennessee,35.1046,-89.9773
Raleigh,Raleigh,NC,North Carolina,35.8325,-78.6435
New Orleans,New Orleans,LA,Louisiana,30.0687,-89.9288
Louisville,Louisville,KY,Kentucky,38.1663,-85.6485
Oklahoma City,Oklahoma City,OK,Oklahoma,35.4676,-97.5136
Bridgeport,Bridgeport,CT,Connecticut,41.1918,-73.1953
Buffalo,Buffalo,NY,New York,42.9016,-78.8487
Fort Worth,Fort Worth,TX,Texas,32.7811,-97.3473
Hartford,Hartford,CT,Connecticut,41.7661,-72.6834
Tucson,Tucson,AZ,Arizona,32.1545,-110.8782
Omaha,Omaha,NE,Nebraska,41.2627,-96.0522
El Paso,El Paso,TX,Texas,31.8479,-106.4309
